Problem	EESM_demoProblem.dat	28	1	150.111
TwCT	EPC	t_TwCT	t_EPC	gap_TwCT	gap_EPC
422	278	1.672	0.875	0	0
431	276	3	0.718	0	0
440	274	0.656	2.078	0	0
449	272	4.594	0.688	0	0
458	270	3.234	1.141	0	0
467	268	2.969	2	0	0
476	266	2.828	3.031	0	0
485	263	2.781	1.469	0	0
494	262	3.093	2.813	0	0
503	260	1.375	1.454	0	0
555	258	2.531	3.031	0	0
564	256	2.172	2.641	0	0
573	254	2.407	3.297	0	0
582	252	2.64	2.969	0	0
635	250	5.641	3.063	0	0
649	247	2.828	2.797	0	0
663	246	2.235	2.828	0	0
677	243	4.297	2.531	0	0
691	242	3.563	2.953	0	0
705	240	2.906	1.734	0	0
772	237	6.984	2.61	0	0
786	236	3.953	2.407	0	0
800	234	3.734	2.156	0	0
814	232	3.656	1.547	0	0
947	230	4.562	1.016	0	0
970	228	5.219	1.328	0	0
993	226	3.438	1.281	0	0
1016	224	4.281	0.406	0	0
Problem	EESM_demoProblem.dat	28	1	166.813
TwCT	EPC	t_TwCT	t_EPC	gap_TwCT	gap_EPC
422	278	1.89	1.141	0	0
431	276	4.125	0.891	0	0
440	274	0.828	2.578	0	0
449	272	5.563	0.735	0	0
458	270	3.672	1.218	0	0
467	268	3.328	2.093	0	0
476	266	2.985	3.234	0	0
485	264	3.078	1.516	0	0
494	262	3.078	2.875	0	0
503	260	1.468	1.563	0	0
555	258	2.719	3.203	0	0
564	256	2.359	2.797	0	0
573	254	2.672	3.594	0	0
582	252	2.89	3.157	0	0
635	250	6.297	3.281	0	0
649	248	3.094	2.984	0	0
663	246	2.437	3.266	0	0
677	244	4.688	2.765	0	0
691	242	3.922	3.141	0	0
705	240	3.203	1.906	0	0
772	238	7.641	2.719	0	0
786	236	4.312	2.61	0	0
800	234	4	2.25	0	0
814	232	3.813	1.719	0	0
947	230	5.625	1.297	0	0
970	228	6.703	1.641	0	0
993	226	3.765	1.266	0	0
1016	224	4.765	0.453	0	0
Problem	EESM_demoProblem.dat	29	1	2.106
TwCT	EPC	t_TwCT	t_EPC	gap_TwCT	gap_EPC
350	280	0.078	0.031	0	0
357	278	0.031	0.031	0	0
364	276	0.031	0.031	0	0
371	274	0.031	0.031	0	0
378	272	0.031	0.031	0	0
385	270	0.11	0.031	0	0
392	268	0.109	0.031	0	0
399	266	0.031	0.063	0	0
406	264	0.047	0.062	0	0
413	262	0.031	0.031	0	0
420	260	0.016	0.032	0	0
469	258	0.046	0.063	0	0
476	256	0.031	0.032	0	0
483	254	0.031	0.031	0	0
490	252	0.031	0.031	0	0
582	250	0.047	0.063	0	0
596	248	0.062	0.031	0	0
610	246	0.031	0.032	0	0
624	244	0.032	0.046	0	0
638	242	0.032	0.031	0	0
652	240	0.015	0.015	0	0
728	238	0.031	0.047	0	0
742	236	0.031	0.032	0	0
756	234	0.016	0.015	0	0
770	232	0.015	0.016	0	0
947	230	0.016	0.047	0	0
970	228	0.015	0.063	0	0
993	226	0.016	0.031	0	0
1018	224	0.015	0.016	0	0
Problem	EESM_demoProblem.dat	29	1	2.048
TwCT	EPC	t_TwCT	t_EPC	gap_TwCT	gap_EPC
350	280	0.031	0.031	0	0
357	278	0.032	0.031	0	0
364	276	0.032	0.031	0	0
371	274	0.031	0.031	0	0
378	272	0.047	0.032	0	0
385	270	0.093	0.032	0	0
392	268	0.046	0.032	0	0
399	266	0.031	0.047	0	0
406	264	0.094	0.063	0	0
413	262	0.031	0.047	0	0
420	260	0.031	0.031	0	0
469	258	0.047	0.031	0	0
476	256	0.031	0.031	0	0
483	254	0.031	0.032	0	0
490	252	0.031	0.016	0	0
582	250	0.031	0.047	0	0
596	248	0.032	0.046	0	0
610	246	0.032	0.032	0	0
624	244	0.031	0.031	0	0
638	242	0.031	0.047	0	0
652	240	0.015	0.032	0	0
728	238	0.031	0.031	0	0
742	236	0.031	0.032	0	0
756	234	0.031	0.031	0	0
770	232	0.016	0.031	0	0
947	230	0.016	0.047	0	0
970	228	0.015	0.078	0	0
993	226	0.016	0.031	0	0
1018	224	0.016	0.031	0	0
Problem	EESM_demoProblem.dat	no solutions
