Problem	EESM_demoProblem.dat	11	1	41.203
EPC	TwCT	t_EPC	t_TwCT	gap_EPC	gap_TwCT
136	287	1.11	1.938	0	0
138	275	1.641	2.39	0	0
140	263	1.5	1.984	0	0
142	251	1.515	1.969	0	0
144	219	1.203	2.078	0	0
146	216	1.406	2.375	0	0
148	213	2.047	1.125	0	0
150	211	1.36	2.125	0	0
152	209	1.984	2.047	0	0
154	207	2.828	2.188	0	0
156	205	2.437	1.953	0	0
Problem	EESM_demoProblem.dat	11	1	45.314
EPC	TwCT	t_EPC	t_TwCT	gap_EPC	gap_TwCT
136	287	1	2.25	0	0
138	275	2.157	2.859	0	0
140	263	2.047	2.219	0	0
142	251	1.609	2.156	0	0
144	219	1.266	2.203	0	0
146	216	1.469	2.469	0	0
148	213	2.125	1.203	0	0
150	211	1.438	2.25	0	0
152	209	2.297	2.25	0	0
154	207	2.953	2.422	0	0
156	205	2.594	2.078	0	0
Problem	EESM_demoProblem.dat	11	1	52.109
EPC	TwCT	t_EPC	t_TwCT	gap_EPC	gap_TwCT
136	287	1.281	2.375	0	0
138	275	2.234	3.094	0	0
140	263	1.969	2.484	0	0
142	251	1.922	2.422	0	0
144	219	1.5	2.64	0	0
146	216	1.719	2.906	0	0
148	213	2.453	1.531	0	0
150	211	1.797	2.907	0	0
152	209	2.672	2.672	0	0
154	207	3.516	2.656	0	0
156	205	2.984	2.375	0	0
Problem	EESM_demoProblem.dat	15	1	50.374
TwCT	EPC	t_TwCT	t_EPC	gap_TwCT	gap_EPC
205	156	2.844	3.109	0	0
207	154	2.266	1.734	0	0
209	152	2.094	2	0	0
211	150	2.14	1.594	0	0
213	148	1.14	1.781	0	0
216	146	2.344	1.797	0	0
219	144	2.094	1.578	0	0
251	142	2.016	1.359	0	0
263	140	1.937	1.422	0	0
275	138	2.375	1.828	0	0
287	136	1.781	0.516	0	0
326	134	1.797	0.266	0	0
341	132	1.64	0.266	0	0
356	130	2.422	0.281	0	0
371	128	1.781	0.172	0	0
Problem	EESM_demoProblem.dat	15	1	50.233
TwCT	EPC	t_TwCT	t_EPC	gap_TwCT	gap_EPC
205	156	2.672	3.062	0	0
207	154	2.235	1.719	0	0
209	152	2.078	1.953	0	0
211	150	2.141	1.625	0	0
213	148	1.156	1.812	0	0
216	146	2.391	1.844	0	0
219	144	2.109	1.594	0	0
251	142	2	1.359	0	0
263	140	1.938	1.437	0	0
275	138	2.359	1.797	0	0
287	136	1.781	0.531	0	0
326	134	1.812	0.266	0	0
341	132	1.625	0.265	0	0
356	130	2.422	0.281	0	0
371	128	1.813	0.156	0	0
Problem	EESM_demoProblem.dat	28	1	147.076
TwCT	EPC	t_TwCT	t_EPC	gap_TwCT	gap_EPC
422	278	1.687	0.875	0	0
431	276	2.984	0.718	0	0
440	274	0.656	2	0	0
449	272	4.532	0.688	0	0
458	270	3.141	1.062	0	0
467	268	2.953	1.937	0	0
476	266	2.765	3.031	0	0
485	263	2.766	1.453	0	0
494	262	2.812	2.657	0	0
503	260	1.453	1.406	0	0
555	258	2.531	2.906	0	0
564	256	2.078	2.594	0	0
573	254	2.391	3.281	0	0
582	252	2.64	2.906	0	0
635	250	5.625	3.032	0	0
649	247	2.844	2.703	0	0
663	246	2.188	2.812	0	0
677	243	4.187	2.5	0	0
691	242	3.406	2.922	0	0
705	240	2.782	1.765	0	0
772	237	6.843	2.547	0	0
787	236	3.875	2.359	0	0
800	234	3.672	2.109	0	0
814	232	3.563	1.516	0	0
947	230	4.578	1.016	0	0
970	228	5.078	1.297	0	0
993	226	3.25	1.141	0	0
1016	224	4.172	0.391	0	0
Problem	EESM_demoProblem.dat	28	1	149.844
TwCT	EPC	t_TwCT	t_EPC	gap_TwCT	gap_EPC
422	278	1.922	0.969	0	0
431	276	3	0.735	0	0
440	274	0.672	2.031	0	0
449	272	4.484	0.656	0	0
458	270	3.234	1.109	0	0
467	268	2.984	1.922	0	0
476	266	2.782	2.968	0	0
485	263	2.75	1.406	0	0
494	262	2.797	2.61	0	0
503	260	1.36	1.422	0	0
555	258	2.485	2.968	0	0
564	256	2.078	2.579	0	0
573	254	2.391	3.312	0	0
582	252	2.672	2.891	0	0
635	250	5.657	2.984	0	0
649	247	2.828	2.735	0	0
663	246	2.234	2.766	0	0
677	243	4.281	2.469	0	0
691	242	3.421	2.891	0	0
705	240	3.047	1.844	0	0
772	237	7.5	2.578	0	0
787	236	4.515	2.5	0	0
800	234	3.703	2.156	0	0
814	232	3.625	1.578	0	0
947	230	4.593	1.047	0	0
970	228	5.235	1.312	0	0
993	226	3.281	1.172	0	0
1016	224	4.266	0.437	0	0
